run_accession	experiment_accession	sample_accession	scientific_name	library_name	sample_title
ERR9452447	ERX8994314	SAMEA13818282	human gut metagenome		stool sample AD
ERR9452450	ERX8994317	SAMEA13818285	human gut metagenome		stool sample Control
ERR9452454	ERX8994321	SAMEA13818289	human gut metagenome		stool sample Control
ERR9452456	ERX8994323	SAMEA13818291	human gut metagenome		stool sample Control
ERR9452457	ERX8994324	SAMEA13818292	human gut metagenome		stool sample Control
ERR9452458	ERX8994325	SAMEA13818293	human gut metagenome		stool sample Control
ERR9452459	ERX8994326	SAMEA13818294	human gut metagenome		stool sample Control
ERR9452462	ERX8994329	SAMEA13818297	human gut metagenome		stool sample AD
ERR9452465	ERX8994332	SAMEA13818300	human gut metagenome		stool sample Control
ERR9452467	ERX8994334	SAMEA13818302	human gut metagenome		stool sample Control
ERR9452468	ERX8994335	SAMEA13818303	human gut metagenome		stool sample Control
ERR9452469	ERX8994336	SAMEA13818304	human gut metagenome		stool sample Control
ERR9452473	ERX8994340	SAMEA13818308	human gut metagenome		stool sample AD
ERR9452477	ERX8994344	SAMEA13818312	human gut metagenome		stool sample AD
ERR9452482	ERX8994349	SAMEA13818317	human gut metagenome		stool sample AD
ERR9452488	ERX8994355	SAMEA13818323	human gut metagenome		stool sample Control
ERR9452489	ERX8994356	SAMEA13818324	human gut metagenome		stool sample AD
ERR9452490	ERX8994357	SAMEA13818325	human gut metagenome		stool sample AD
ERR9452491	ERX8994358	SAMEA13818326	human gut metagenome		stool sample AD
ERR9452448	ERX8994315	SAMEA13818283	human gut metagenome		stool sample Control
ERR9452451	ERX8994318	SAMEA13818286	human gut metagenome		stool sample Control
ERR9452455	ERX8994322	SAMEA13818290	human gut metagenome		stool sample AD
ERR9452460	ERX8994327	SAMEA13818295	human gut metagenome		stool sample AD
ERR9452464	ERX8994331	SAMEA13818299	human gut metagenome		stool sample Control
ERR9452470	ERX8994337	SAMEA13818305	human gut metagenome		stool sample Control
ERR9452471	ERX8994338	SAMEA13818306	human gut metagenome		stool sample Control
ERR9452472	ERX8994339	SAMEA13818307	human gut metagenome		stool sample AD
ERR9452474	ERX8994341	SAMEA13818309	human gut metagenome		stool sample AD
ERR9452475	ERX8994342	SAMEA13818310	human gut metagenome		stool sample AD
ERR9452478	ERX8994345	SAMEA13818313	human gut metagenome		stool sample AD
ERR9452479	ERX8994346	SAMEA13818314	human gut metagenome		stool sample AD
ERR9452486	ERX8994353	SAMEA13818321	human gut metagenome		stool sample AD
ERR9452445	ERX8994312	SAMEA13818280	human gut metagenome		stool sample Control
ERR9452446	ERX8994313	SAMEA13818281	human gut metagenome		stool sample Control
ERR9452449	ERX8994316	SAMEA13818284	human gut metagenome		stool sample AD
ERR9452452	ERX8994319	SAMEA13818287	human gut metagenome		stool sample AD
ERR9452453	ERX8994320	SAMEA13818288	human gut metagenome		stool sample Control
ERR9452461	ERX8994328	SAMEA13818296	human gut metagenome		stool sample AD
ERR9452463	ERX8994330	SAMEA13818298	human gut metagenome		stool sample Control
ERR9452466	ERX8994333	SAMEA13818301	human gut metagenome		stool sample Control
ERR9452476	ERX8994343	SAMEA13818311	human gut metagenome		stool sample Control
ERR9452480	ERX8994347	SAMEA13818315	human gut metagenome		stool sample AD
ERR9452481	ERX8994348	SAMEA13818316	human gut metagenome		stool sample Control
ERR9452483	ERX8994350	SAMEA13818318	human gut metagenome		stool sample AD
ERR9452484	ERX8994351	SAMEA13818319	human gut metagenome		stool sample Control
ERR9452485	ERX8994352	SAMEA13818320	human gut metagenome		stool sample AD
ERR9452487	ERX8994354	SAMEA13818322	human gut metagenome		stool sample AD
ERR9452492	ERX8994359	SAMEA13818327	human gut metagenome		stool sample AD
ERR9452493	ERX8994360	SAMEA13818328	human gut metagenome		stool sample Control
ERR9452494	ERX8994361	SAMEA13818329	human gut metagenome		stool sample AD
