"","SRR14864859","SRR14864860","SRR14864861","SRR14864862","SRR14864863","SRR14864864","SRR14864865","SRR14864866","SRR14864867","SRR14864868","SRR14864869","SRR14864870"
"ENSG00000000003",30,63,46,104,55,41,20,51,58,16,27,21
"ENSG00000000005",0,0,0,4,0,1,1,2,0,1,4,0
"ENSG00000000419",262,169,149,159,63,127,108,224,210,97,186,117
"ENSG00000000457",99,128,157,154,51,151,135,189,91,70,149,131
"ENSG00000000460",25,63,47,94,12,28,48,57,64,44,31,45
"ENSG00000000938",6,0,0,0,0,1,8,3,11,0,11,33
"ENSG00000000971",371,149,86,302,135,100,132,311,207,331,124,91
"ENSG00000001036",4,10,0,1,3,5,12,5,6,0,7,9
"ENSG00000001084",534,548,565,556,232,364,508,905,483,266,406,293
"ENSG00000001167",425,574,465,535,85,382,348,565,422,296,339,160
"ENSG00000001460",194,121,26,91,49,162,86,136,82,48,86,50
"ENSG00000001461",709,1066,1536,1428,535,1023,1116,1005,860,480,798,505
"ENSG00000001497",187,589,224,335,93,652,810,1096,352,151,345,391
"ENSG00000001561",860,567,678,726,375,592,450,801,521,450,678,456
"ENSG00000001617",0,3,3,0,0,4,2,4,0,8,2,10
"ENSG00000001626",6,18,35,25,9,29,53,29,10,11,32,23
"ENSG00000001629",124,55,227,146,128,63,62,275,143,197,74,35
"ENSG00000001630",1155,531,763,823,920,879,306,814,1282,486,1089,478
"ENSG00000001631",1000,886,937,1101,420,682,884,895,929,608,824,995
"ENSG00000002016",99,150,67,120,33,115,171,124,145,60,90,38
"ENSG00000002079",0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000002330",99,106,74,83,13,90,39,99,32,70,108,0
"ENSG00000002549",389,201,242,238,212,256,224,360,197,262,218,146
"ENSG00000002586",405,276,159,281,157,258,203,224,195,116,200,142
"ENSG00000002587",25,47,22,58,42,15,20,47,21,30,24,24
"ENSG00000002726",0,0,0,0,0,1,0,0,0,0,0,1
"ENSG00000002745",10,3,6,11,5,1,5,5,9,7,10,14
"ENSG00000002746",658,293,242,267,48,24,186,433,214,233,432,299
"ENSG00000002822",16,21,22,3,8,35,31,40,21,4,27,10
"ENSG00000002834",825,789,504,712,175,427,516,765,395,505,558,388
"ENSG00000002919",32,9,19,35,1,27,15,53,72,4,41,7
"ENSG00000002933",161,139,23,126,43,105,68,84,57,78,50,51
"ENSG00000003056",410,275,189,314,111,276,276,456,265,181,200,186
"ENSG00000003096",79,64,50,108,2,0,20,35,52,73,111,119
"ENSG00000003137",92,63,23,84,7,21,36,89,40,36,72,34
"ENSG00000003147",462,320,343,250,45,205,267,387,98,244,596,239
"ENSG00000003249",203,218,101,155,43,151,72,128,108,127,135,43
"ENSG00000003393",1104,957,542,839,310,881,724,1058,703,447,1044,752
"ENSG00000003400",26,46,26,66,33,43,79,56,74,50,26,49
"ENSG00000003402",1314,1926,1377,1545,765,1446,1748,1925,1307,773,888,1359
"ENSG00000003436",28,19,4,45,58,32,15,42,29,55,10,67
"ENSG00000003509",130,82,135,65,31,136,107,72,62,44,156,50
"ENSG00000003756",1143,1345,1219,1433,505,1398,1674,2622,1384,469,1173,1001
"ENSG00000003987",313,149,190,196,16,140,232,324,25,41,360,24
"ENSG00000003989",375,302,113,163,405,0,355,274,411,611,91,180
"ENSG00000004059",128,149,61,108,20,106,66,176,56,52,212,62
"ENSG00000004139",114,202,117,143,53,180,187,315,125,108,84,144
"ENSG00000004142",215,273,204,58,23,208,215,300,117,145,306,66
"ENSG00000004399",267,560,346,215,103,204,426,505,403,202,252,161
"ENSG00000004455",689,857,708,756,257,684,1138,1261,697,352,490,524
"ENSG00000004468",135,123,41,98,32,229,242,121,53,16,117,138
"ENSG00000004478",100,91,70,82,64,94,151,209,263,115,59,57
"ENSG00000004487",450,495,381,527,213,409,577,797,375,260,576,579
"ENSG00000004534",555,1048,576,1110,414,685,1014,1105,1452,466,637,568
"ENSG00000004660",427,425,175,234,42,347,244,630,168,122,475,208
"ENSG00000004700",190,79,169,43,45,11,57,135,144,79,59,19
"ENSG00000004766",405,222,290,276,40,172,149,188,159,155,188,213
"ENSG00000004776",6,60,0,33,9,72,0,74,0,27,71,0
