"gene_id","gene_name","log2FoldChange","foldChange","pvalue","padj","baseMean"
"ENSG00000006128","TAC1",-3.07033618849824,0.119052004059393,1.21968417858104e-05,0.00473809966107962,54.627089456383
"ENSG00000059122","FLYWCH1",-1.2747918275562,0.413284789349136,4.98710860556876e-05,0.0131846683759724,165.042145575134
"ENSG00000059588","TARBP1",-1.57756527679532,0.335046844112912,0.000126997502521006,0.022805636419692,285.005359133427
"ENSG00000063015","SEZ6",-1.79006545557205,0.289158926438389,4.42326847257836e-05,0.0127571083902317,166.973682529677
"ENSG00000082684","SEMA5B",-1.64918090723743,0.318821116730129,5.74036265457545e-07,0.000575093700683388,117.609587594963
"ENSG00000100505","TRIM9",-1.17189148146933,0.44383905264805,6.09852206052926e-06,0.00283135042493108,745.695856702082
"ENSG00000111344","RASAL1",-2.2367934779878,0.21215734360848,0.000365505485887473,0.0411000776822034,44.5767227749055
"ENSG00000111490","TBC1D30",-1.17778160699487,0.442030674405997,0.000258455177516947,0.0339289262347248,232.792144931424
"ENSG00000136750","GAD2",-2.26738418452655,0.207706146629595,0.000367061371472266,0.0411000776822034,386.822378453433
"ENSG00000148985","PGAP2",-2.30595163818573,0.202227116004915,0.000414366673599884,0.043577180287148,21.674535237162
"ENSG00000159239","",-1.51716868403931,0.349370891128581,0.000239372625045073,0.0320877318150209,66.0592502515536
"ENSG00000185823","NPAP1",-2.25295385043645,0.209794120155894,1.55042155078715e-05,0.00578672043514379,70.3342495274704
"ENSG00000196502","SULT1A1",-3.04152059993652,0.121453788700705,1.2014851761089e-07,0.000228702703272329,119.152241217099
"ENSG00000214279","SCART1",-3.24418044938906,0.105536909758359,4.6963363157116e-05,0.013146288495525,34.7084273404644
"ENSG00000214548","MEG3",-1.16877770725079,0.44479802667745,3.54655729661618e-05,0.0110503876838429,11936.2924975561
"ENSG00000215244","LINC02649",-1.81033809330151,0.285124102754488,0.000103391435000902,0.0213090682275345,88.597796012776
"ENSG00000224812","TMEM72-AS1",-1.536555650908,0.344707441553198,4.34655601529155e-05,0.0127571083902317,77.1955070477957
"ENSG00000230910","ADGRB3-DT",-1.03654050928568,0.487495055310967,0.000208673444535787,0.0289934234798446,359.884151032912
"ENSG00000234678","ELF3-AS1",-2.20138862604222,0.217428260540273,0.000105229966555726,0.0213090682275345,27.5110105759693
"ENSG00000237737","DCTN1-AS1",-1.36030367684077,0.389500294214321,0.000207060330590202,0.0289808337704742,58.8815340223578
"ENSG00000243708","PLA2G4B",-2.14415421739541,0.226227431767036,6.49502343025506e-05,0.0158913504062778,45.9505779570718
"ENSG00000253485","PCDHGA5",-1.12495762341266,0.458515489477232,0.000275381001979164,0.0351803850514992,76.5344401839312
"ENSG00000255052","FAM66D",-1.29044832542068,0.408823965240719,0.000400659036020117,0.0428457570260839,262.04065075363
"ENSG00000260196","",-1.25428732998815,0.419200595089179,0.000349135031240737,0.0400231432544754,44.8416489066648
"ENSG00000265018","AGAP12P",-3.06060814623307,0.119857480160786,0.000201867331074791,0.0284632936815455,18.966579684384
"ENSG00000270953","",-1.56719639433881,0.337463554178581,2.97512115325557e-05,0.00976403985383098,144.390149930831
"ENSG00000272871","",-1.88865695280334,0.270058347391431,0.000148569085549,0.024625376762634,19.8341182579156
"ENSG00000281106","TMEM272",-2.51499677367219,0.174948624440074,2.29297092201237e-06,0.00141068670328628,53.8709884328335
"ENSG00000285578","",-2.58627223706412,0.166515428651451,7.25057534715732e-08,0.000153349668592377,21.346255339678
"ENSG00000287527","",-1.59663311966153,0.330647724996771,0.00014261099257765,0.024625376762634,23.7491876420584
